Place,Code,Country,Admin1,Admin2,Admin3
Port Moody,V3H,Canada,British Columbia,,
   49.323/-122.863,,,,,
Pitt Meadows,V3Y,Canada,British Columbia,,
   49.221/-122.69,,,,,
White Rock,V4B,Canada,British Columbia,,
   49.026/-122.806,,,,,
Penticton,V2A,Canada,British Columbia,,
   49.481/-119.586,,,,,
Westbank,V4T,Canada,British Columbia,,
   49.866/-119.739,,,,,
Winfield,V4V,Canada,British Columbia,,
   50.022/-119.405,,,,,
Kimberley,V1A,Canada,British Columbia,,
   49.683/-115.986,,,,,
Saltspring Island,V8K,Canada,British Columbia,,
   48.814/-123.497,,,,,
Chilliwack West,V2R,Canada,British Columbia,Chilliwack,
   49.076/-121.988,,,,,
Abbotsford Southeast,V2S,Canada,British Columbia,Abbotsford,
   49.042/-122.283,,,,,
Abbotsford Southwest,V2T,Canada,British Columbia,Abbotsford,
   49.038/-122.349,,,,,
Mission East,V2V,Canada,British Columbia,,
   49.646/-122.505,,,,,
Maple Ridge East,V2W,Canada,British Columbia,Maple Ridge,
   49.207/-122.485,,,,,
Maple Ridge West,V2X,Canada,British Columbia,Maple Ridge,
   49.22/-122.616,,,,,
Langley Township Northwest,V2Y,Canada,British Columbia,Langley Township,
   49.128/-122.624,,,,,
Langley Township Southwest,V2Z,Canada,British Columbia,Langley Township,
   49.048/-122.6,,,,,
Port Coquitlam South,V3C,Canada,British Columbia,Port Coquitlam,
   49.244/-122.787,,,,,
Kamloops Central and Southeast,V2C,Canada,British Columbia,Kamloops,
   50.544/-120.094,,,,,
Kamloops South and West,V2E,Canada,British Columbia,Kamloops,
   50.674/-120.421,,,,,
Kamloops North,V2H,Canada,British Columbia,Kamloops,
   50.726/-120.166,,,,,
Quesnel,V2J,Canada,British Columbia,,
   52.978/-122.493,,,,,
Prince George North,V2K,Canada,British Columbia,Prince George,
   54.051/-122.922,,,,,
Prince George East Central,V2L,Canada,British Columbia,Prince George,
   53.908/-122.747,,,,,
Prince George West Central,V2M,Canada,British Columbia,Prince George,
   53.913/-122.871,,,,,
Prince George South,V2N,Canada,British Columbia,Prince George,
   53.641/-122.954,,,,,
Chilliwack Central,V2P,Canada,British Columbia,Chilliwack,
   49.184/-121.905,,,,,
Northern British Columbia (Fort Nelson),V0C,Canada,British Columbia,,
   58.387/-125.717,,,,,
Central Okanagan and High Country (Revelstoke),V0E,Canada,British Columbia,,
   51.505/-119.203,,,,,
West Kootenays (Rossland),V0G,Canada,British Columbia,,
   50.053/-117.429,,,,,
South Okanagan (Summerland),V0H,Canada,British Columbia,,
   49.409/-119.005,,,,,
Omineca and Yellowhead (Smithers),V0J,Canada,British Columbia,,
   55.996/-126.857,,,,,
Cariboo and West Okanagan (100 Mile House),V0K,Canada,British Columbia,,
   51.437/-121.638,,,,,
Chilcotin (Alexis Creek),V0L,Canada,British Columbia,,
   52.099/-123.653,,,,,
Harrison Lake Region (Agassiz),V0M,Canada,British Columbia,,
   49.635/-122.038,,,,,
"North Island, Sunshine Coast, and Southern Gulf Islands (Whistler)",V0N,Canada,British Columbia,,
   51.294/-126.075,,,,,
North Central Island and Bute Inlet Region (Gold River),V0P,Canada,British Columbia,,
   49.887/-126.267,,,,,
Central Island (Chemainus),V0R,Canada,British Columbia,,
   49.027/-124.846,,,,,
Juan de Fuca Shore (Sooke),V0S,Canada,British Columbia,,
   48.543/-123.672,,,,,
Inside Passage and the Queen Charlottes (Queen Charlotte City),V0T,Canada,British Columbia,,
   52.234/-126.213,,,,,
Lower Skeena (Port Edward),V0V,Canada,British Columbia,,
   53.973/-129.899,,,,,
Atlin Region (Atlin),V0W,Canada,British Columbia,,
   59.638/-133.543,,,,,
Similkameen (Hope),V0X,Canada,British Columbia,,
   49.369/-120.657,,,,,
Vernon West,V1H,Canada,British Columbia,Vernon,
   50.287/-119.497,,,,,
Fort St. John,V1J,Canada,British Columbia,,
   56.25/-120.853,,,,,
Port Coquitlam North,V3E,Canada,British Columbia,Port Coquitlam,
   49.317/-122.738,,,,,
Abbotsford East,V3G,Canada,British Columbia,,
   49.075/-122.178,,,,,
Coquitlam North,V3J,Canada,British Columbia,Coquitlam,
   49.265/-122.872,,,,,
Coquitlam South,V3K,Canada,British Columbia,Coquitlam,
   49.237/-122.852,,,,,
New Westminster Northeast,V3L,Canada,British Columbia,New Westminster,
   49.22/-122.9,,,,,
New Westminster Southwest (Includes Annacis Island),V3M,Canada,British Columbia,New Westminster,
   49.189/-122.938,,,,,
Burnaby (East Big Bend / Stride Avenue / Edmonds / Cariboo-Armstrong),V3N,Canada,British Columbia,,
   49.227/-122.93,,,,,
Surrey North,V3R,Canada,British Columbia,Surrey,
   49.195/-122.813,,,,,
Surrey East,V3S,Canada,British Columbia,Surrey,
   49.079/-122.755,,,,,
Surrey Inner Northwest,V3T,Canada,British Columbia,Surrey,
   49.189/-122.845,,,,,
Nelson,V1L,Canada,British Columbia,,
   49.5/-117.286,,,,,
Langley Township North,V1M,Canada,British Columbia,,
   49.166/-122.579,,,,,
Kelowna East,V1P,Canada,British Columbia,Kelowna,
   49.896/-119.172,,,,,
Kamloops Southwest,V1S,Canada,British Columbia,,
   50.558/-120.548,,,,,
Vernon Central,V1T,Canada,British Columbia,Vernon,
   50.26/-119.277,,,,,
Kelowna North,V1V,Canada,British Columbia,Kelowna,
   49.95/-119.434,,,,,
Kelowna Southwest,V1W,Canada,British Columbia,Kelowna,
   49.812/-119.508,,,,,
Kelowna East Central,V1X,Canada,British Columbia,Kelowna,
   50.053/-119.286,,,,,
Kelowna Central,V1Y,Canada,British Columbia,Kelowna,
   49.893/-119.485,,,,,
Kelowna West,V1Z,Canada,British Columbia,Kelowna,
   49.862/-119.583,,,,,
Vancouver (SE Kensington / Victoria-Fraserview),V5P,Canada,British Columbia,Vancouver,
   49.222/-123.068,,,,,
Vancouver (South Renfrew-Collingwood),V5R,Canada,British Columbia,Vancouver,
   49.24/-123.041,,,,,
Vancouver (Killarney),V5S,Canada,British Columbia,Vancouver,
   49.218/-123.038,,,,,
Vancouver (East Mount Pleasant),V5T,Canada,British Columbia,Vancouver,
   49.262/-123.092,,,,,
Vancouver (West Kensington / NE Riley Park-Little Mountain),V5V,Canada,British Columbia,Vancouver,
   49.248/-123.091,,,,,
Vancouver (SE Riley Park-Little Mountain / SW Kensington / NE Oakridge / North Sunset),V5W,Canada,British Columbia,Vancouver,
   49.233/-123.092,,,,,
Vancouver (SE Oakridge / East Marpole / South Sunset),V5X,Canada,British Columbia,Vancouver,
   49.216/-123.098,,,,,
Vancouver (West Mount Pleasant / West Riley Park-Little Mountain),V5Y,Canada,British Columbia,Vancouver,
   49.249/-123.11,,,,,
Vancouver (East Fairview / South Cambie),V5Z,Canada,British Columbia,Vancouver,
   49.248/-123.121,,,,,
Vancouver (Waterfront / Coal Harbour / Canada Place),V6C,Canada,British Columbia,Vancouver,
   49.287/-123.116,,,,,
Vancouver (South West End),V6E,Canada,British Columbia,Vancouver,
   49.283/-123.13,,,,,
Vancouver (North West End / Stanley Park),V6G,Canada,British Columbia,Vancouver,
   49.299/-123.141,,,,,
Vancouver (West Fairview / Granville Island / NE Shaughnessy),V6H,Canada,British Columbia,Vancouver,
   49.256/-123.132,,,,,
Vancouver (NW Shaughnessy / East Kitsilano / Quilchena),V6J,Canada,British Columbia,Vancouver,
   49.26/-123.146,,,,,
Vancouver (Central Kitsilano),V6K,Canada,British Columbia,Vancouver,
   49.265/-123.165,,,,,
Vancouver (NW Arbutus Ridge),V6L,Canada,British Columbia,Vancouver,
   49.25/-123.166,,,,,
Vancouver (South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge),V6M,Canada,British Columbia,Vancouver,
   49.234/-123.145,,,,,
Vancouver (Dunbar-Southlands / Musqueam),V6N,Canada,British Columbia,Vancouver,
   49.23/-123.189,,,,,
Vancouver (SE Kerrisdale / SW Oakridge / West Marpole),V6P,Canada,British Columbia,Vancouver,
   49.215/-123.14,,,,,
Vancouver (West Kitsilano / Jericho),V6R,Canada,British Columbia,Vancouver,
   49.267/-123.198,,,,,
Vancouver (Chaldecutt / South University Endowment Lands),V6S,Canada,British Columbia,Vancouver,
   49.249/-123.209,,,,,
Richmond Northeast,V6V,Canada,British Columbia,Richmond,
   49.185/-123.039,,,,,
Richmond Southeast,V6W,Canada,British Columbia,Richmond,
   49.153/-123.048,,,,,
Richmond North,V6X,Canada,British Columbia,Richmond,
   49.184/-123.117,,,,,
Richmond Central,V6Y,Canada,British Columbia,Richmond,
   49.17/-123.137,,,,,
Vancouver (SW Downtown),V6Z,Canada,British Columbia,Vancouver,
   49.277/-123.13,,,,,
Richmond (Sea Island / YVR),V7B,Canada,British Columbia,Richmond,
   49.199/-123.18,,,,,
Richmond West,V7C,Canada,British Columbia,Richmond,
   49.163/-123.172,,,,,
Richmond Southwest,V7E,Canada,British Columbia,Richmond,
   49.132/-123.17,,,,,
North Vancouver Outer East,V7G,Canada,British Columbia,Vancouver,
   49.368/-122.928,,,,,
North Vancouver Inner East,V7H,Canada,British Columbia,Vancouver,
   49.355/-122.98,,,,,
North Vancouver East Central,V7J,Canada,British Columbia,Vancouver,
   49.362/-123.018,,,,,
North Vancouver North Central,V7K,Canada,British Columbia,Vancouver,
   49.36/-123.038,,,,,
North Vancouver South Central,V7L,Canada,British Columbia,Vancouver,
   49.316/-123.058,,,,,
North Vancouver Southwest Central,V7M,Canada,British Columbia,Vancouver,
   49.322/-123.083,,,,,
Oak Bay South,V8S,Canada,British Columbia,Oak Bay,
   48.42/-123.305,,,,,
Victoria North,V8T,Canada,British Columbia,Victoria,
   48.439/-123.357,,,,,
Victoria South,V8V,Canada,British Columbia,Victoria,
   48.417/-123.365,,,,,
Victoria Central British Columbia Provincial Government,V8W,Canada,British Columbia,Victoria,
   48.427/-123.365,,,,,
Saanich South,V8X,Canada,British Columbia,Saanich,
   48.478/-123.366,,,,,
Saanich North,V8Y,Canada,British Columbia,Saanich,
   48.525/-123.375,,,,,
Saanich Central,V8Z,Canada,British Columbia,Saanich,
   48.499/-123.4,,,,,
Highlands,V9B,Canada,British Columbia,,
   48.479/-123.527,,,,,
Metchosin,V9C,Canada,British Columbia,,
   48.383/-123.536,,,,,
Saanich West,V9E,Canada,British Columbia,,
   48.522/-123.453,,,,,
Courtenay Northern Outskirts,V9J,Canada,British Columbia,Courtenay,
   49.724/-125.26,,,,,
Qualicum Beach,V9K,Canada,British Columbia,,
   49.347/-124.436,,,,,
North Vancouver Northwest Central,V7N,Canada,British Columbia,Vancouver,
   49.35/-123.068,,,,,
North Vancouver Southwest,V7P,Canada,British Columbia,Vancouver,
   49.322/-123.115,,,,,
North Vancouver Northwest,V7R,Canada,British Columbia,Vancouver,
   49.378/-123.086,,,,,
West Vancouver North,V7S,Canada,British Columbia,Vancouver,
   49.374/-123.186,,,,,
West Vancouver Southeast,V7T,Canada,British Columbia,Vancouver,
   49.332/-123.142,,,,,
West Vancouver South,V7V,Canada,British Columbia,Vancouver,
   49.34/-123.191,,,,,
West Vancouver West,V7W,Canada,British Columbia,Vancouver,
   49.361/-123.263,,,,,
Vancouver (Bentall Centre),V7X,Canada,British Columbia,Vancouver,
   49.293/-123.116,,,,,
Vancouver (Pacific Centre),V7Y,Canada,British Columbia,Vancouver,
   49.282/-123.119,,,,,
Squamish,V8B,Canada,British Columbia,,
   49.7/-123.156,,,,,
Kitimat,V8C,Canada,British Columbia,,
   54.052/-128.653,,,,,
Whistler,V8E,Canada,British Columbia,,
   50.118/-122.954,,,,,
Prince Rupert,V8J,Canada,British Columbia,,
   54.316/-130.32,,,,,
Central Saanich,V8M,Canada,British Columbia,,
   48.566/-123.419,,,,,
Saanich East,V8N,Canada,British Columbia,Saanich,
   48.476/-123.315,,,,,
Saanich Southeast,V8P,Canada,British Columbia,Saanich,
   48.458/-123.332,,,,,
Oak Bay North,V8R,Canada,British Columbia,Oak Bay,
   48.45/-123.303,,,,,
Surrey South,V4P,Canada,British Columbia,Surrey,
   49.056/-122.83,,,,,
Maple Ridge Northwest,V4R,Canada,British Columbia,,
   49.29/-122.517,,,,,
Mission West,V4S,Canada,British Columbia,,
   49.253/-122.357,,,,,
Langley Township East,V4W,Canada,British Columbia,,
   49.071/-122.498,,,,,
Abbotsford West,V4X,Canada,British Columbia,,
   49.086/-122.403,,,,,
Chilliwack East,V4Z,Canada,British Columbia,,
   49.079/-121.61,,,,,
Burnaby (Burnaby Heights / Willingdon Heights / West Central Valley),V5C,Canada,British Columbia,Burnaby,
   49.274/-123.007,,,,,
Burnaby (Lakeview-Mayfield / Richmond Park / Kingsway-Beresford),V5E,Canada,British Columbia,Burnaby,
   49.227/-122.957,,,,,
Burnaby (Cascade-Schou / Douglas-Gilpin),V5G,Canada,British Columbia,Burnaby,
   49.248/-122.994,,,,,
Burnaby (Maywood / Marlborough / Oakalla / Windsor),V5H,Canada,British Columbia,Burnaby,
   49.23/-122.995,,,,,
Burnaby (Suncrest / Sussex-Nelson / Clinton-Glenwood / West Big Bend),V5J,Canada,British Columbia,Burnaby,
   49.204/-122.992,,,,,
Vancouver (North Hastings-Sunrise),V5K,Canada,British Columbia,Vancouver,
   49.281/-123.04,,,,,
Vancouver (North Grandview-Woodlands),V5L,Canada,British Columbia,Vancouver,
   49.279/-123.067,,,,,
Vancouver (South Hastings-Sunrise / North Renfrew-Collingwood),V5M,Canada,British Columbia,Vancouver,
   49.26/-123.04,,,,,
Vancouver (South Grandview-Woodlands / NE Kensington),V5N,Canada,British Columbia,Vancouver,
   49.255/-123.067,,,,,
Courtenay Central,V9N,Canada,British Columbia,Courtenay,
   49.659/-124.984,,,,,
Nanaimo South,V9R,Canada,British Columbia,Nanaimo,
   49.161/-123.983,,,,,
Nanaimo Central,V9S,Canada,British Columbia,Nanaimo,
   49.189/-123.963,,,,,
Nanaimo North,V9T,Canada,British Columbia,Nanaimo,
   49.215/-124.02,,,,,
Nanaimo Northwest,V9V,Canada,British Columbia,Nanaimo,
   49.239/-124.023,,,,,
Campbell River Central,V9W,Canada,British Columbia,Campbell River,
   50.077/-125.591,,,,,
Cedar,V9X,Canada,British Columbia,,
   49.042/-123.979,,,,,
Port Alberni,V9Y,Canada,British Columbia,,
   49.241/-124.803,,,,,
Sooke,V9Z,Canada,British Columbia,,
   48.375/-123.728,,,,,
Surrey Outer Northwest,V3V,Canada,British Columbia,Surrey,
   49.189/-122.873,,,,,
Surrey Upper West,V3W,Canada,British Columbia,Surrey,
   49.141/-122.857,,,,,
Surrey Lower West,V3X,Canada,British Columbia,Surrey,
   49.107/-122.858,,,,,
Surrey,V3Z,Canada,British Columbia,,
   49.106/-122.825,,,,,
Delta Northeast,V4C,Canada,British Columbia,Delta,
   49.155/-122.912,,,,,
Delta East,V4E,Canada,British Columbia,Delta,
   49.12/-122.906,,,,,
Delta East Central,V4G,Canada,British Columbia,Delta,
   49.146/-123.014,,,,,
Delta Central,V4K,Canada,British Columbia,Delta,
   49.099/-123.032,,,,,
Delta Southeast,V4L,Canada,British Columbia,Delta,
   49.042/-123.059,,,,,
Delta Southwest,V4M,Canada,British Columbia,Delta,
   49.033/-123.088,,,,,
Surrey Northeast,V4N,Canada,British Columbia,Surrey,
   49.171/-122.733,,,,,
Langley City,V3A,Canada,British Columbia,,
   49.1/-122.653,,,,,
Williams Lake,V2G,Canada,British Columbia,,
   52.142/-122.145,,,,,
Upper Columbia Region (Golden),V0A,Canada,British Columbia,,
   51.299/-116.939,,,,,
Salmon Arm,V1E,Canada,British Columbia,,
   50.7/-119.269,,,,,
Castlegar,V1N,Canada,British Columbia,,
   49.3/-117.669,,,,,
Trail,V1R,Canada,British Columbia,,
   49.1/-117.702,,,,,
Vancouver (UBC),V6T,Canada,British Columbia,Vancouver,
   49.463/-122.822,,,,,
Esquimalt,V9A,Canada,British Columbia,,
   48.45/-123.419,,,,,
Ladysmith,V9G,Canada,British Columbia,,
   48.983/-123.819,,,,,
Campbell River Outskirts,V9H,Canada,British Columbia,Campbell River,
   49.909/-125.586,,,,,
Powell River,V8A,Canada,British Columbia,,
   50.016/-124.323,,,,,
Terrace,V8G,Canada,British Columbia,,
   54.516/-128.603,,,,,
Sidney,V8L,Canada,British Columbia,,
   48.65/-123.403,,,,,
Comox,V9M,Canada,British Columbia,,
   49.683/-124.936,,,,,
Surrey Southwest,V4A,Canada,British Columbia,Surrey,
   49.037/-122.83,,,,,
Port Coquitlam Central,V3B,Canada,British Columbia,Port Coquitlam,
   49.274/-122.765,,,,,
Kamloops Northwest,V2B,Canada,British Columbia,Kamloops,
   50.887/-120.736,,,,,
East Kootenays (Fernie),V0B,Canada,British Columbia,,
   49.678/-115.564,,,,,
Vernon East,V1B,Canada,British Columbia,Vernon,
   50.084/-118.938,,,,,
Cranbrook,V1C,Canada,British Columbia,,
   49.5/-115.769,,,,,
Dawson Creek,V1G,Canada,British Columbia,,
   55.767/-120.236,,,,,
Merritt,V1K,Canada,British Columbia,,
   50.112/-120.794,,,,,
Vancouver (Strathcona / Chinatown / Downtown Eastside),V6A,Canada,British Columbia,Vancouver,
   49.278/-123.091,,,,,
Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),V6B,Canada,British Columbia,Vancouver,
   49.279/-123.114,,,,,
Richmond South,V7A,Canada,British Columbia,Richmond,
   49.12/-123.117,,,,,
Duncan,V9L,Canada,British Columbia,,
   48.783/-123.703,,,,,
Burnaby (Government Road / Lake City / SFU / Burnaby Mountain),V5A,Canada,British Columbia,Burnaby,
   49.264/-122.937,,,,,
Burnaby (Parkcrest-Aubrey / Ardingley-Sprott),V5B,Canada,British Columbia,Burnaby,
   49.277/-122.976,,,,,
Parksville,V9P,Canada,British Columbia,,
   49.316/-124.319,,,,,
